ToM HJD (+2400000);E(GCVS);O-C;AAVSO;ADS;ASAS;BAV;CDB;GEOS;KWS;type;source;observer;reference
54111,2830;5059;-1,32;-1,32;;;;;;;vis;AAVSO;Świerczyński 2007;AAVSO this paper
54320,3590;5101;-1,55;-1,55;;;;;;;vis;AAVSO;Gobet 2007;AAVSO this paper
54390,1600;5115;-1,51;;;;-1,51;;;;vis;BAV/Lit.;BAV Kriebel;OEJV 0097, 2008
54390,1600;5115;-1,51;;;;-1,51;;;;vis;BAV/Lit.;BAV Kriebel;BAV Data Base
54390,4850;5115;-1,19;-1,19;;;;;;;vis;AAVSO;Świerczyński 2007;AAVSO this paper
55815,1300;5401;-1,81;;;;;;;-1,81;V;KWS;KWS;KWS data
56881,5360;5615;-1,87;;-1,87;;;;;;V;ADS;;2018 yCat 1345
57240,2100;5687;-2,00;;;;;;;-2,00;V;KWS;KWS;KWS this paper
57315,0300;5702;-1,93;;;;;;;-1,93;V;KWS;KWS;KWS this paper
57603,9817;5760;-2,02;;;-2,02;;;;;V;ASASSN;ASASSN 2016;ASASSN this paper
57658,8895;5771;-1,93;;;-1,93;;;;;V;ASASSN;ASASSN 2016;ASASSN this paper
57698,6100;5779;-2,08;-2,08;;;;;;;V;AAVSO;n/a;AAVSO this paper
57698,6100;5779;-2,08;-2,08;;;;;;;V;AAVSO;Schiff 2016;AAVSO this paper
58824,8000;6005;-2,15;;;;;;;-2,15;V;KWS;KWS;KWS this paper
59188,5110;6078;-2,23;-2,23;;;;;;;V;AAVSO;Crowson 2020;AAVSO this paper
59497,4400;6140;-2,28;;;;;;-2,28;;vis;GEOS;Boistel 2021;GEOS this paper
59547,2600;6150;-2,29;;;;;;-2,29;;vis;GEOS;Boistel 2021;GEOS this paper
59741,4100;6189;-2,50;;;;;;-2,50;;vis;GEOS;Boistel 2022;GEOS this paper
